score,apellido,email
100.0%,Gonzalez,user8@example.com
100.0%,Collins,user9@example.com
100.0%,Yang,user10@example.com
100.0%,Logan,user11@example.com
100.0%,Pollard,user12@example.com
100.0%,Harris,user13@example.com
100.0%,Fletcher,user14@example.com
100.0%,Liu,user15@example.com
100.0%,Williams,user16@example.com
100.0%,Smith,user17@example.com
100.0%,Jensen,user18@example.com
100.0%,Rodriguez,user19@example.com
100.0%,Cox,user20@example.com
100.0%,Davis,user21@example.com
100.0%,Reynolds,user22@example.com
100.0%,Nash,user23@example.com
100.0%,Parsons,user24@example.com
100.0%,Richards,user25@example.com
100.0%,Hall,user26@example.com
100.0%,Brown,user27@example.com
100.0%,Freeman,user28@example.com
100.0%,Thornton,user29@example.com
100.0%,Bailey,user30@example.com
100.0%,Hill,user31@example.com
100.0%,Miller,user32@example.com
100.0%,Johnson,user33@example.com
100.0%,Smith,user34@example.com
100.0%,Estes,user35@example.com
100.0%,Williams,user36@example.com
100.0%,Chang,user37@example.com
100.0%,Smith,user38@example.com
100.0%,Hernandez,user39@example.com
100.0%,Watts,user40@example.com
100.0%,Marshall,user41@example.com
100.0%,Bowen,user42@example.com
100.0%,Thompson,user43@example.com
100.0%,Russell,user44@example.com
100.0%,King,user45@example.com
100.0%,Byrd,user46@example.com
100.0%,Robinson,user47@example.com
100.0%,Harrison,user48@example.com
100.0%,Sellers,user49@example.com
100.0%,Torres,user50@example.com
100.0%,Randall,user51@example.com
100.0%,Nguyen,user52@example.com
100.0%,Rice,user53@example.com
100.0%,Perkins,user54@example.com
