score,nombre,apellido,email,match_result
70.42%,Michael,Jones,michael.jones2@example.com,MichaelRobinsonuser47@example.com
72.73%,Herbert,Davis,herbert.davis5@example.com,RobertDavisuser2@example.com
71.6%,Christopher,Moore,christopher.moore44@example.com,ChristopherBowenuser42@example.com
74.29%,Teresa,Jones,teresa.jones70@example.com,TheresaJohnsonuser140@example.com
70.0%,Christopher,Lane,christopher.lane79@example.com,ChristopherJensenuser18@example.com
70.27%,Michael,Wagner,michael.wagner87@example.com,MichaelCochranuser167@example.com
73.24%,Joseph,Moreno,joseph.moreno108@example.com,JosephGordonuser182@example.com
71.23%,Joseph,Torres,joseph.torres109@example.com,StephanieTorresuser50@example.com
71.88%,Dustin,Bell,dustin.bell113@example.com,DavidBelluser123@example.com
70.42%,Richard,Lewis,richard.lewis122@example.com,RichardDrakeuser172@example.com
74.63%,Daniel,Smith,daniel.smith125@example.com,DanielSmithuser17@example.com
71.88%,Mary,Glover,mary.glover144@example.com,MaryBrownuser144@example.com
81.36%,Allison,Hill,allison@example.com,AllisonHilluser31@example.com
70.59%,Joseph,Mason,joseph.mason173@example.com,JosephHoganuser127@example.com
70.59%,Tina,Webster,tina.webster175@example.com,AmandaSteinuser178@example.com
