score,nombre,apellido,email,match_query,match_result,match_result_values,destTable,sourceTable,nombre_completo
100.0%,April,Gonzalez,user8@example.com,AprilGonzalezuser8@example.com,AprilGonzalezuser8@example.com,"{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",Usuarios,Clientes,April Gonzalez
100.0%,Colton,Collins,user9@example.com,ColtonCollinsuser9@example.com,ColtonCollinsuser9@example.com,"{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",Usuarios,Clientes,Colton Collins
100.0%,Joseph,Yang,user10@example.com,JosephYanguser10@example.com,JosephYanguser10@example.com,"{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'user10@example.com'}",Usuarios,Clientes,Joseph Yang
100.0%,Michelle,Logan,user11@example.com,MichelleLoganuser11@example.com,MichelleLoganuser11@example.com,"{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",Usuarios,Clientes,Michelle Logan
100.0%,Mary,Pollard,user12@example.com,MaryPollarduser12@example.com,MaryPollarduser12@example.com,"{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",Usuarios,Clientes,Mary Pollard
100.0%,Gail,Harris,user13@example.com,GailHarrisuser13@example.com,GailHarrisuser13@example.com,"{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",Usuarios,Clientes,Gail Harris
100.0%,Lauren,Fletcher,user14@example.com,LaurenFletcheruser14@example.com,LaurenFletcheruser14@example.com,"{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",Usuarios,Clientes,Lauren Fletcher
100.0%,Alan,Liu,user15@example.com,AlanLiuuser15@example.com,AlanLiuuser15@example.com,"{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}",Usuarios,Clientes,Alan Liu
100.0%,Douglas,Williams,user16@example.com,DouglasWilliamsuser16@example.com,DouglasWilliamsuser16@example.com,"{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",Usuarios,Clientes,Douglas Williams
100.0%,Daniel,Smith,user17@example.com,DanielSmithuser17@example.com,DanielSmithuser17@example.com,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",Usuarios,Clientes,Daniel Smith
100.0%,Christopher,Jensen,user18@example.com,ChristopherJensenuser18@example.com,ChristopherJensenuser18@example.com,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",Usuarios,Clientes,Christopher Jensen
100.0%,Haley,Rodriguez,user19@example.com,HaleyRodriguezuser19@example.com,HaleyRodriguezuser19@example.com,"{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",Usuarios,Clientes,Haley Rodriguez
100.0%,Alexis,Cox,user20@example.com,AlexisCoxuser20@example.com,AlexisCoxuser20@example.com,"{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}",Usuarios,Clientes,Alexis Cox
100.0%,Deborah,Davis,user21@example.com,DeborahDavisuser21@example.com,DeborahDavisuser21@example.com,"{'first_name': 'Deborah', 'last_name': 'Davis', 'email': 'user21@example.com'}",Usuarios,Clientes,Deborah Davis
100.0%,Brenda,Reynolds,user22@example.com,BrendaReynoldsuser22@example.com,BrendaReynoldsuser22@example.com,"{'first_name': 'Brenda', 'last_name': 'Reynolds', 'email': 'user22@example.com'}",Usuarios,Clientes,Brenda Reynolds
100.0%,Paul,Nash,user23@example.com,PaulNashuser23@example.com,PaulNashuser23@example.com,"{'first_name': 'Paul', 'last_name': 'Nash', 'email': 'user23@example.com'}",Usuarios,Clientes,Paul Nash
100.0%,Steven,Parsons,user24@example.com,StevenParsonsuser24@example.com,StevenParsonsuser24@example.com,"{'first_name': 'Steven', 'last_name': 'Parsons', 'email': 'user24@example.com'}",Usuarios,Clientes,Steven Parsons
100.0%,Adrian,Richards,user25@example.com,AdrianRichardsuser25@example.com,AdrianRichardsuser25@example.com,"{'first_name': 'Adrian', 'last_name': 'Richards', 'email': 'user25@example.com'}",Usuarios,Clientes,Adrian Richards
100.0%,Kristin,Hall,user26@example.com,KristinHalluser26@example.com,KristinHalluser26@example.com,"{'first_name': 'Kristin', 'last_name': 'Hall', 'email': 'user26@example.com'}",Usuarios,Clientes,Kristin Hall
100.0%,Gerald,Brown,user27@example.com,GeraldBrownuser27@example.com,GeraldBrownuser27@example.com,"{'first_name': 'Gerald', 'last_name': 'Brown', 'email': 'user27@example.com'}",Usuarios,Clientes,Gerald Brown
100.0%,Susan,Freeman,user28@example.com,SusanFreemanuser28@example.com,SusanFreemanuser28@example.com,"{'first_name': 'Susan', 'last_name': 'Freeman', 'email': 'user28@example.com'}",Usuarios,Clientes,Susan Freeman
100.0%,Gary,Thornton,user29@example.com,GaryThorntonuser29@example.com,GaryThorntonuser29@example.com,"{'first_name': 'Gary', 'last_name': 'Thornton', 'email': 'user29@example.com'}",Usuarios,Clientes,Gary Thornton
100.0%,Joyce,Bailey,user30@example.com,JoyceBaileyuser30@example.com,JoyceBaileyuser30@example.com,"{'first_name': 'Joyce', 'last_name': 'Bailey', 'email': 'user30@example.com'}",Usuarios,Clientes,Joyce Bailey
100.0%,Allison,Hill,user31@example.com,AllisonHilluser31@example.com,AllisonHilluser31@example.com,"{'first_name': 'Allison', 'last_name': 'Hill', 'email': 'user31@example.com'}",Usuarios,Clientes,Allison Hill
100.0%,Jamie,Miller,user32@example.com,JamieMilleruser32@example.com,JamieMilleruser32@example.com,"{'first_name': 'Jamie', 'last_name': 'Miller', 'email': 'user32@example.com'}",Usuarios,Clientes,Jamie Miller
100.0%,Kimberly,Johnson,user33@example.com,KimberlyJohnsonuser33@example.com,KimberlyJohnsonuser33@example.com,"{'first_name': 'Kimberly', 'last_name': 'Johnson', 'email': 'user33@example.com'}",Usuarios,Clientes,Kimberly Johnson
