nombre,apellido,email,match_query,match_result,score,match_result_values,destTable,sourceTable
Michael,Jones,michael.jones2@example.com,MichaelJonesmichael.jones2@example.com,MichaelRobinsonuser47@example.com,70.4225352112676,"{'first_name': 'Michael', 'last_name': 'Robinson', 'email': 'user47@example.com'}",Usuarios,Clientes
Herbert,Davis,herbert.davis5@example.com,HerbertDavisherbert.davis5@example.com,RobertDavisuser2@example.com,72.72727272727273,"{'first_name': 'Robert', 'last_name': 'Davis', 'email': 'user2@example.com'}",Usuarios,Clientes
Christopher,Moore,christopher.moore44@example.com,ChristopherMoorechristopher.moore44@example.com,ChristopherBowenuser42@example.com,71.60493827160495,"{'first_name': 'Christopher', 'last_name': 'Bowen', 'email': 'user42@example.com'}",Usuarios,Clientes
April,Gonzalez,user8@example.com,AprilGonzalezuser8@example.com,AprilGonzalezuser8@example.com,100.0,"{'first_name': 'April', 'last_name': 'Gonzalez', 'email': 'user8@example.com'}",Usuarios,Clientes
Colton,Collins,user9@example.com,ColtonCollinsuser9@example.com,ColtonCollinsuser9@example.com,100.0,"{'first_name': 'Colton', 'last_name': 'Collins', 'email': 'user9@example.com'}",Usuarios,Clientes
Joseph,Yang,user10@example.com,JosephYanguser10@example.com,JosephYanguser10@example.com,100.0,"{'first_name': 'Joseph', 'last_name': 'Yang', 'email': 'user10@example.com'}",Usuarios,Clientes
Michelle,Logan,user11@example.com,MichelleLoganuser11@example.com,MichelleLoganuser11@example.com,100.0,"{'first_name': 'Michelle', 'last_name': 'Logan', 'email': 'user11@example.com'}",Usuarios,Clientes
Mary,Pollard,user12@example.com,MaryPollarduser12@example.com,MaryPollarduser12@example.com,100.0,"{'first_name': 'Mary', 'last_name': 'Pollard', 'email': 'user12@example.com'}",Usuarios,Clientes
Gail,Harris,user13@example.com,GailHarrisuser13@example.com,GailHarrisuser13@example.com,100.0,"{'first_name': 'Gail', 'last_name': 'Harris', 'email': 'user13@example.com'}",Usuarios,Clientes
Lauren,Fletcher,user14@example.com,LaurenFletcheruser14@example.com,LaurenFletcheruser14@example.com,100.0,"{'first_name': 'Lauren', 'last_name': 'Fletcher', 'email': 'user14@example.com'}",Usuarios,Clientes
Alan,Liu,user15@example.com,AlanLiuuser15@example.com,AlanLiuuser15@example.com,100.0,"{'first_name': 'Alan', 'last_name': 'Liu', 'email': 'user15@example.com'}",Usuarios,Clientes
Douglas,Williams,user16@example.com,DouglasWilliamsuser16@example.com,DouglasWilliamsuser16@example.com,100.0,"{'first_name': 'Douglas', 'last_name': 'Williams', 'email': 'user16@example.com'}",Usuarios,Clientes
Daniel,Smith,user17@example.com,DanielSmithuser17@example.com,DanielSmithuser17@example.com,100.0,"{'first_name': 'Daniel', 'last_name': 'Smith', 'email': 'user17@example.com'}",Usuarios,Clientes
Christopher,Jensen,user18@example.com,ChristopherJensenuser18@example.com,ChristopherJensenuser18@example.com,100.0,"{'first_name': 'Christopher', 'last_name': 'Jensen', 'email': 'user18@example.com'}",Usuarios,Clientes
Haley,Rodriguez,user19@example.com,HaleyRodriguezuser19@example.com,HaleyRodriguezuser19@example.com,100.0,"{'first_name': 'Haley', 'last_name': 'Rodriguez', 'email': 'user19@example.com'}",Usuarios,Clientes
Alexis,Cox,user20@example.com,AlexisCoxuser20@example.com,AlexisCoxuser20@example.com,100.0,"{'first_name': 'Alexis', 'last_name': 'Cox', 'email': 'user20@example.com'}",Usuarios,Clientes
